race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4504,1,2016,Cheez-It 355 at The Glen,1,0,157,Watkins Glen International,2016-08-07T14:30:00,2016-08-07T14:30:00,2016-08-06T00:00:00,,220.5,220.5,90,90,,,,40,923,126.562,9,8,8,20,89.513,02:27:48,,0,0,MRN,USA,1482,,,,,,,,
4512,1,2016,Bank of America 500,1,0,162,Charlotte Motor Speedway,2016-10-08T19:00:00,2016-10-09T12:00:00,2016-10-06T00:00:00,,501.0,501.0,334,334,,,,40,1416,196.029,17,9,8,51,134.929,03:42:47,,0,0,PRN,NBC,468,,,,,,,,
4492,1,2016,Sprint Showdown,2,0,162,Charlotte Motor Speedway,2016-05-20T19:00:00,2016-05-21T11:00:00,,,60.0,75.0,40,50,,,,25,0,0.0,4,5,3,6,82.924,00:54:16,,0,0,MRN,FS1,3690,,,,,,,,
4493,1,2016,NASCAR Sprint All-Star Race,2,0,162,Charlotte Motor Speedway,2016-05-21T19:00:00,2016-05-21T19:00:00,,,135.0,169.5,110,113,,,,20,0,0.0,13,7,4,19,98.103,01:43:40,,0,0,MRN,FS1,3670,,,,,,,,
4494,1,2016,Coca-Cola 600,1,0,162,Charlotte Motor Speedway,2016-05-29T18:00:00,2016-05-29T18:00:00,2016-05-26T00:00:00,,600.0,600.0,400,400,,,,40,3368,192.328,9,4,4,19,160.655,03:44:05,,0,0,PRN,FOX,447,,,,,,,,
4496,1,2016,Axalta 'We Paint Winners' 400,1,0,198,Pocono Raceway,2016-06-05T13:00:00,2016-06-06T12:00:00,2016-06-03T00:00:00,,400.0,400.0,160,160,,,,40,1816,181.726,14,10,10,40,125.49,03:11:15,,0,0,MRN,FS1,1358,,,,,,,,
4503,1,2016,Pennsylvania 400,1,0,198,Pocono Raceway,2016-07-31T13:30:00,2016-08-01T11:00:00,2016-07-29T00:00:00,,400.0,345.0,160,138,,,,40,3368,179.244,19,11,7,31,127.581,02:42:15,,0,0,MRN,NBCSN,1122,,,,,,,,
4542,2,2016,VFW Sport Clips Help A Hero 200,1,0,4,Darlington Raceway,2016-09-03T15:30:00,2016-09-03T15:30:00,,,200.8,200.802,147,147,,,,40,0,0.0,8,6,3,17,128.719,01:33:36,,0,0,MRN,NBC,2200,,,,,,,,
4540,2,2016,Food City 300,1,0,14,Bristol Motor Speedway,2016-08-19T19:30:00,2016-08-19T19:30:00,2016-08-19T00:00:00,,159.9,164.164,300,308,,,,40,4059,127.903,16,7,8,54,84.827,01:56:07,,0,0,PRN,USA,2153,,,,,,,,
4525,2,2016,Fitzgerald Glider Kits 300,1,0,14,Bristol Motor Speedway,2016-04-16T12:30:00,2016-04-16T12:30:00,2016-04-16T00:00:00,,159.9,106.6,300,200,,,,40,4059,125.914,10,4,3,23,93.829,01:08:10,,0,0,PRN,FS1,2133,,,,,,,,
