vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost
5,Kyle Larson,Chevrolet,7,7,2,2,490.226,515.042,24.816,509.5919,512.3947,2.8027,19.3659,2.6472,OTHER,False,False,False,False,0,0,2,4,-2
5,Kyle Larson,Chevrolet,42,42,2,2,2488.264,2512.722,24.458,2507.2687,2510.0047,2.736,19.0047,2.7172,OTHER,False,False,False,False,0,0,2,2,0
10,Aric Almirola,Ford,7,7,2,2,489.96,514.712,24.752,508.7244,511.0601,2.3356,18.7644,3.6519,OTHER,False,False,False,False,0,0,1,3,-2
10,Aric Almirola,Ford,42,42,2,2,2488.5859,2512.977,24.391,2507.1019,2509.2373,2.1354,18.5159,3.7396,OTHER,False,False,False,False,0,0,3,3,0
14,Chase Briscoe,Ford,7,7,2,2,491.041,529.684,38.6429,502.2847,516.8992,14.6145,11.2437,12.7847,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,4,19,-15
14,Chase Briscoe,Ford,9,8,2,2,628.298,658.154,29.8559,641.6604,644.7301,3.0697,13.3624,13.4238,OTHER,False,False,False,False,0,0,19,19,0
14,Chase Briscoe,Ford,43,43,2,2,2626.483,2664.483,38.0,2637.4023,2650.7822,13.3798,10.9193,13.7007,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,2,12,-10
2,Austin Cindric,Ford,7,7,2,2,490.596,517.0119,26.4159,504.4535,507.7234,3.2699,13.8575,9.2885,OTHER,False,False,False,False,0,0,3,5,-2
2,Austin Cindric,Ford,42,42,2,2,2488.915,2514.436,25.521,2503.0312,2505.4335,2.4023,14.1162,9.0024,OTHER,False,False,False,False,0,0,4,5,-1
8,Kyle Busch,Chevrolet,7,7,2,2,491.52,517.208,25.6879,508.2907,512.1278,3.837,16.7707,5.0801,OTHER,False,False,False,False,0,0,6,6,0
99,Daniel Suarez,Chevrolet,7,7,2,2,491.274,517.371,26.0969,498.948,502.7851,3.8371,7.674,14.5858,OTHER,False,False,False,False,0,0,5,7,-2
99,Daniel Suarez,Chevrolet,42,42,2,2,2488.025,2518.35,30.3249,2500.1617,2504.2657,4.104,12.1367,14.0842,OTHER,False,False,False,False,0,0,1,13,-12
99,Daniel Suarez,Chevrolet,43,43,2,2,2631.593,2665.594,34.001,2639.2708,2651.4829,12.212,7.6778,14.111,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,14,-1
9,Chase Elliott,Chevrolet,7,7,2,2,492.147,517.52,25.3729,509.8589,513.2956,3.4366,17.7119,4.2243,OTHER,False,False,False,False,0,0,8,8,0
9,Chase Elliott,Chevrolet,42,42,2,2,2490.525,2515.732,25.2069,2508.7701,2511.2726,2.5024,18.2451,4.4593,OTHER,False,False,False,False,0,0,10,11,-1
9,Chase Elliott,Chevrolet,43,43,2,2,2630.924,2664.786,33.862,2648.213,2660.7254,12.5123,17.289,4.0605,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,13,-2
41,Ryan Preece,Ford,7,7,2,2,491.937,518.28,26.3429,508.4575,512.1945,3.7369,16.5205,6.0854,OTHER,False,False,False,False,0,0,7,9,-2
41,Ryan Preece,Ford,42,42,2,2,2491.991,2600.753,108.762,2509.1705,2594.655,85.4844,17.1795,6.0979,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,15,0
6,Brad Keselowski,Ford,7,7,2,2,492.525,519.381,26.8559,499.3151,503.7528,4.4377,6.7901,15.6281,OTHER,False,False,False,False,0,0,9,12,-3
6,Brad Keselowski,Ford,42,42,2,2,2489.708,2514.2689,24.5609,2495.9909,2498.1597,2.1688,6.2829,16.1092,OTHER,False,False,False,False,0,0,7,4,3
45,Tyler Reddick,Toyota,7,7,2,2,492.782,526.8869,34.1049,508.6243,519.8937,11.2693,15.8423,6.9932,OTHER,False,False,False,False,0,0,10,17,-7
45,Tyler Reddick,Toyota,9,8,2,2,627.028,654.497,27.4689,642.995,647.6997,4.7046,15.967,6.7972,OTHER,False,False,False,False,0,0,17,18,-1
45,Tyler Reddick,Toyota,42,42,2,2,2490.857,2516.612,25.755,2507.202,2509.671,2.469,16.345,6.9409,OTHER,False,False,False,False,0,0,12,12,0
19,Martin Truex Jr.,Toyota,7,7,2,2,493.024,519.216,26.192,505.8883,509.5252,3.6369,12.8643,9.6907,OTHER,False,False,False,False,0,0,11,11,0
19,Martin Truex Jr.,Toyota,42,42,2,2,2489.434,2514.622,25.1879,2501.9968,2504.1323,2.1354,12.5628,10.4896,OTHER,False,False,False,False,0,0,6,6,0
67,* Travis Pastrana,Toyota,7,7,2,2,496.129,528.509,32.3799,508.0581,515.7323,7.6742,11.9291,12.7766,OTHER,False,False,False,False,0,0,19,18,1
11,Denny Hamlin,Toyota,7,7,2,2,493.819,522.395,28.5759,508.3908,514.4301,6.0393,14.5718,7.9648,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,14,15,-1
11,Denny Hamlin,Toyota,42,42,2,2,2490.266,2515.594,25.3279,2504.933,2507.7024,2.7693,14.667,7.8915,OTHER,False,False,False,False,0,0,9,10,-1
42,Noah Gragson #,Chevrolet,7,7,2,2,494.868,522.2809,27.4129,510.8598,515.1975,4.3376,15.9918,7.0834,OTHER,False,False,False,False,0,0,16,14,2
42,Noah Gragson #,Chevrolet,42,42,2,2,2490.061,2515.171,25.1099,2505.2667,2507.8359,2.5691,15.2057,7.335,OTHER,False,False,False,False,0,0,8,8,0
31,Justin Haley,Chevrolet,8,8,2,2,618.566,654.41,35.8439,631.8173,642.6614,10.844,13.2513,11.7485,OTHER,False,False,False,False,0,0,2,17,-15
31,Justin Haley,Chevrolet,42,42,2,2,2491.4989,2563.323,71.824,2503.9321,2552.7802,48.8481,12.4331,10.5427,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,14,14,0
62,* Austin Hill(i),Chevrolet,7,7,2,2,497.347,542.981,45.634,505.5223,525.9424,20.4201,8.1753,17.0385,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,20,20,0
62,* Austin Hill(i),Chevrolet,41,40,2,2,2302.674,2491.0949,188.4209,2314.839,2468.1907,153.3517,12.165,22.9042,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,16,18,-2
62,* Austin Hill(i),Chevrolet,43,41,2,2,2599.5479,0.0,0.0,2609.6405,2788.3767,178.7361,10.0925,0.0,OTHER,False,False,False,False,0,0,18,18,0
38,Todd Gilliland,Ford,7,7,2,2,493.562,521.093,27.5309,503.0187,507.1228,4.1041,9.4567,13.9701,OTHER,False,False,False,False,0,0,13,13,0
38,Todd Gilliland,Ford,42,42,2,2,2489.209,2514.988,25.7789,2497.826,2501.0292,3.2031,8.617,13.9587,OTHER,False,False,False,False,0,0,5,7,-2
78,BJ McLeod,Chevrolet,8,8,2,2,619.22,720.223,101.0029,629.2815,706.5464,77.2648,10.0615,13.6765,OTHER,False,False,False,False,0,0,3,21,-18
78,BJ McLeod,Chevrolet,43,42,2,2,2573.092,2604.577,31.485,2584.0141,2590.4538,6.4397,10.9221,14.1231,OTHER,False,False,False,False,0,0,16,16,0
15,Riley Herbst(i),Ford,7,7,2,2,495.55,526.064,30.5139,501.5182,508.0581,6.5398,5.9682,18.0058,OTHER,False,False,False,False,0,0,18,16,2
7,Corey LaJoie,Chevrolet,7,7,2,2,494.093,518.878,24.785,499.582,502.6517,3.0696,5.489,16.2262,OTHER,False,False,False,False,0,0,15,10,5
7,Corey LaJoie,Chevrolet,42,42,2,2,2491.08,2515.45,24.3699,2496.5581,2499.2608,2.7026,5.4781,16.1891,OTHER,False,False,False,False,0,0,13,9,4
50,* Conor Daly(i),Chevrolet,8,7,2,2,499.958,596.995,97.0369,507.958,577.9936,70.0355,8.0,19.0013,OTHER,False,False,False,False,0,0,21,21,0
50,* Conor Daly(i),Chevrolet,42,41,2,2,2494.838,2574.584,79.7459,2502.3982,2554.95,52.5518,7.5602,19.6339,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,17,0
4,Chase Purdy,Chevrolet,4,3,2,2,359.935,390.645,30.7099,376.1913,381.6301,5.4387,16.2563,9.0148,OTHER,False,False,False,False,0,0,28,33,-5
16,Tyler Ankrum,Toyota,4,3,2,2,360.329,392.901,32.572,368.8175,376.5584,7.7409,8.4885,16.3425,OTHER,False,False,False,False,0,0,29,34,-5
43,Daniel Dye #,Chevrolet,4,3,2,2,365.402,398.224,32.822,379.1609,387.736,8.5751,13.7589,10.4879,OTHER,False,False,False,False,0,0,35,36,-1
16,Tyler Ankrum,Toyota,5,4,2,2,493.593,522.749,29.156,501.9863,506.424,4.4376,8.3933,16.3249,OTHER,False,False,False,False,0,0,33,36,-3
20,Derek Kraus,Chevrolet,4,3,2,2,350.189,393.897,43.7079,358.4728,374.6888,16.216,8.2838,19.2081,OTHER,False,False,False,False,0,0,15,35,-20
4,Chase Purdy,Chevrolet,5,4,2,2,493.285,522.511,29.2259,509.0933,513.6645,4.5711,15.8083,8.8464,OTHER,False,False,False,False,0,0,32,35,-3
38,Zane Smith,Ford,5,4,2,2,480.892,509.11,28.218,499.5172,504.8558,5.3385,18.6252,4.2541,OTHER,False,False,False,False,0,0,17,26,-9
9,Colby Howard,Chevrolet,8,7,2,2,802.775,833.5839,30.8089,809.1334,815.9401,6.8067,6.3584,17.6438,OTHER,False,False,False,False,0,0,17,28,-11
7,Corey LaJoie(i),Chevrolet,8,7,2,2,806.388,833.738,27.35,821.9127,827.3848,5.472,15.5247,6.3531,OTHER,False,False,False,False,0,0,23,29,-6
02,Kris Wright,Chevrolet,8,7,2,2,810.3529,843.957,33.604,822.2797,830.1208,7.841,11.9267,13.8361,OTHER,False,False,False,False,0,0,27,36,-9
16,Tyler Ankrum,Toyota,8,7,2,2,815.385,843.141,27.7559,823.8813,827.5183,3.6369,8.4963,15.6226,OTHER,False,False,False,False,0,0,35,35,0
75,Parker Kligerman(i),Chevrolet,8,7,2,2,805.145,835.047,29.902,824.7822,831.8225,7.0403,19.6372,3.2244,OTHER,False,False,False,False,0,0,21,32,-11
41,Travis Pastrana(i),Chevrolet,9,8,2,2,934.079,966.91,32.831,955.7502,963.6914,7.9412,21.6712,3.2185,OTHER,False,False,False,False,0,0,20,36,-16
84,Clay Greenfield,Toyota,21,21,2,2,1724.61,1755.573,30.963,1738.2496,1743.5883,5.3386,13.6396,11.9846,OTHER,False,False,False,False,0,0,13,24,-11
88,Matt Crafton,Ford,21,21,2,2,1721.121,1747.977,26.8559,1727.8727,1731.91,4.0373,6.7517,16.0669,OTHER,False,False,False,False,0,0,2,6,-4
98,Ty Majeski,Ford,21,21,2,2,1722.466,1751.659,29.193,1729.1072,1733.7785,4.6712,6.6412,17.8804,OTHER,False,False,False,False,0,0,6,14,-8
11,Corey Heim,Toyota,21,21,2,2,1726.95,1757.778,30.8279,1741.1665,1748.4931,7.3266,14.2165,9.2848,OTHER,False,False,False,False,0,0,18,26,-8
99,Ben Rhodes,Ford,21,21,2,2,1724.969,1751.888,26.9189,1730.1416,1733.5116,3.37,5.1726,18.3763,OTHER,False,False,False,False,0,0,14,15,-1
17,Sammy Smith(i),Toyota,21,21,2,2,1728.846,2271.546,542.6999,1738.9837,1758.3695,19.3858,10.1377,513.1764,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,22,30,-8
23,Grant Enfinger,Chevrolet,21,21,2,2,1724.192,1752.221,28.0289,1732.7442,1736.9483,4.2041,8.5522,15.2726,OTHER,False,False,False,False,0,0,12,17,-5
25,Matt DiBenedetto,Chevrolet,21,21,2,2,1721.413,1755.973,34.5599,1733.6451,1743.3214,9.6762,12.2321,12.6515,OTHER,False,False,False,False,0,0,3,25,-22
2,Nick Sanchez #,Chevrolet,21,21,2,2,1722.13,1749.672,27.5419,1735.0464,1739.284,4.2375,12.9164,10.3879,OTHER,False,False,False,False,0,0,5,9,-4
13,Hailie Deegan,Ford,21,21,2,2,1721.735,1754.444,32.709,1736.1476,1743.8218,7.6742,14.4126,10.6221,OTHER,False,False,False,False,0,0,4,22,-18
19,Christian Eckes,Chevrolet,21,21,2,2,1720.75,1750.567,29.817,1739.1505,1745.8238,6.6732,18.4005,4.7431,OTHER,False,False,False,False,0,0,1,12,-11
24,Rajah Caruth #,Chevrolet,21,21,2,2,1727.619,1761.543,33.9239,1737.282,1747.1584,9.8764,9.663,14.3845,OTHER,False,False,False,False,0,0,21,28,-7
42,Carson Hocevar,Chevrolet,21,21,2,2,1722.929,1750.413,27.4839,1740.5853,1744.7227,4.1374,17.6563,5.6902,OTHER,False,False,False,False,0,0,7,11,-4
15,Tanner Gray,Toyota,21,21,2,2,1723.394,1754.112,30.718,1740.7855,1748.3263,7.5407,17.3915,5.7856,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,8,20,-12
35,Chase Elliott(i),Chevrolet,21,21,2,2,1726.252,1772.547,46.295,1742.654,1766.0103,23.3563,16.402,6.5366,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,16,31,-15
7,Corey LaJoie(i),Chevrolet,21,21,2,2,1727.199,1754.216,27.0169,1743.7551,1747.4254,3.6702,16.5561,6.7905,OTHER,False,False,False,False,0,0,19,21,-2
1,Jason A White,Toyota,22,21,2,2,1731.759,1777.152,45.393,1738.3831,1759.1369,20.7538,6.6241,18.015,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,27,32,-5
51,Jack Wood,Chevrolet,21,21,2,2,1723.813,1752.219,28.4059,1745.2232,1750.0947,4.8714,21.4102,2.1242,OTHER,False,False,False,False,0,0,10,18,-8
43,Daniel Dye #,Chevrolet,22,21,2,2,1730.463,1794.4,63.937,1743.9887,1783.8279,39.8392,13.5257,10.572,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,24,36,-12
97,Codie Rohrbaugh,Chevrolet,22,21,2,2,1733.932,1792.291,58.3589,1745.6903,1777.9888,32.2985,11.7583,14.3021,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,30,35,-5
38,Zane Smith,Ford,21,21,2,2,1726.477,1767.472,40.9949,1745.657,1763.4745,17.8175,19.18,3.9974,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,29,-12
33,Mason Massey,Ford,22,21,2,2,1737.826,2271.859,534.0329,1749.1271,1765.1428,16.0157,11.3011,506.7161,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,35,33,2
02,Kris Wright,Chevrolet,22,21,2,2,1735.569,1786.691,51.122,1748.4931,1774.5521,26.0589,12.9241,12.1388,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,33,34,-1
30,Chris Hacker,Toyota,22,22,2,2,1852.257,1927.619,75.3619,1869.2829,1921.7683,52.4853,17.0259,5.8506,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,7,33,-26
5,Dean Thompson,Toyota,23,22,2,2,1860.281,1909.802,49.5209,1871.6519,1894.975,23.3231,11.3709,14.8269,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,23,32,-9
34,Jason M White,Toyota,22,22,2,2,1854.476,1895.65,41.1739,1875.1554,1887.1673,12.0119,20.6794,8.4826,OTHER,False,False,False,False,0,0,11,31,-20
56,Timmy Hill,Toyota,22,22,2,2,1851.604,1928.458,76.854,1869.5498,1923.0362,53.4863,17.9458,5.4217,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,6,34,-28
1,Jason A White,Toyota,24,23,2,2,1992.924,2031.272,38.3479,1999.5823,2009.0583,9.476,6.6583,22.2136,OTHER,False,False,False,False,0,0,26,35,-9
20,Derek Kraus,Chevrolet,22,22,2,2,1852.902,1958.052,105.1499,1860.7744,1938.3407,77.5662,7.8724,19.7112,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,9,35,-26
32,Bret Holmes #,Chevrolet,21,21,2,2,1725.412,1757.903,32.4909,1740.7187,1749.6943,8.9755,15.3067,8.2086,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,15,27,-12
22,Josh Reaume,Ford,22,22,2,2,1855.479,1987.583,132.104,1867.6145,1975.1208,107.5062,12.1355,12.4621,OTHER,False,False,False,False,0,0,14,36,-22
9,Colby Howard,Chevrolet,29,29,2,2,2558.654,0.0,0.0,2565.6753,2564.4571,0.0,7.0213,0.0,OTHER,False,False,False,False,0,0,2,2,0
43,Daniel Dye #,Chevrolet,29,28,2,2,2400.908,3075.02,674.112,2416.0077,3062.8761,646.8684,15.0997,12.1438,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,33,32,1
25,Matt DiBenedetto,Chevrolet,29,28,2,2,2381.125,3078.099,696.974,2395.1192,3066.2329,671.1137,13.9942,11.866,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,32,33,-1
88,Matt Crafton,Ford,29,29,2,2,2562.346,0.0,0.0,2573.2708,2588.2708,15.0,10.9248,0.0,OTHER,False,False,False,False,0,0,5,5,0
16,Tyler Ankrum,Toyota,29,29,2,2,2557.775,0.0,0.0,2568.8782,2583.8782,15.0,11.1032,0.0,OTHER,False,False,False,False,0,0,1,1,0
99,Ben Rhodes,Ford,29,29,2,2,2565.516,0.0,0.0,2573.3193,2588.3193,15.0,7.8033,0.0,OTHER,False,False,False,False,0,0,9,10,-1
1,Jason A White,Toyota,32,31,2,2,2966.209,3002.964,36.755,2972.9843,2981.9598,8.9755,6.7753,21.0041,OTHER,False,False,False,False,0,0,28,26,2
11,Corey Heim,Toyota,32,31,2,2,2961.825,3006.073,44.248,2975.7871,2997.375,21.5879,13.9621,8.6979,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,21,27,-6
17,Sammy Smith(i),Toyota,32,31,2,2,2962.806,3016.642,53.8359,2973.0844,3002.7137,29.6292,10.2784,13.9282,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,23,29,-6
43,Daniel Dye #,Chevrolet,32,31,2,2,2970.286,3046.239,75.9529,2984.7626,3034.6452,49.8825,14.4766,11.5937,OTHER,False,False,False,False,0,0,32,32,0
02,Kris Wright,Chevrolet,32,31,2,2,2965.404,3015.165,49.7609,2979.4907,3001.1455,21.6547,14.0867,14.0194,OTHER,False,False,False,False,0,0,26,28,-2
22,Josh Reaume,Ford,32,31,2,2,2967.152,3019.065,51.913,2981.5594,3005.7834,24.2239,14.4074,13.2815,OTHER,False,False,False,False,0,0,29,30,-1
33,Mason Massey,Ford,32,31,2,2,2969.158,3030.6819,61.5239,2979.6909,3014.2584,34.5674,10.5329,16.4235,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,31,31,0
43,Daniel Dye #,Chevrolet,33,32,2,2,3112.948,3181.401,68.4529,3126.6746,3170.9179,44.2432,13.7266,10.483,OTHER,False,False,False,False,0,0,32,32,0
15,Tanner Gray,Toyota,32,31,2,2,2959.072,3210.935,251.8629,2977.0874,3204.4989,227.4115,18.0154,6.436,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,15,33,-18
25,Matt DiBenedetto,Chevrolet,34,33,2,2,3225.839,3256.571,30.7319,3238.5888,3245.1285,6.5397,12.7498,11.4424,OTHER,False,False,False,False,0,0,27,29,-2
38,Zane Smith,Ford,34,33,2,2,3218.6909,3260.969,42.278,3237.3198,3256.9724,19.6525,18.6288,3.9965,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,19,32,-13
17,Sammy Smith(i),Toyota,34,33,2,2,3228.084,3259.9899,31.9059,3239.3896,3246.4298,7.0401,11.3056,13.5601,OTHER,False,False,False,False,0,0,30,31,-1
7,Corey LaJoie(i),Chevrolet,34,33,2,2,3215.953,3257.188,41.235,3231.9146,3250.7663,18.8517,15.9616,6.4216,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,14,30,-16
9,Colby Howard,Chevrolet,40,39,2,2,3618.863,3671.333,52.47,3625.0494,3653.7112,28.6617,6.1864,17.6217,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,24,29,-5
75,Parker Kligerman(i),Chevrolet,40,39,2,2,3599.0,3691.528,92.5279,3622.9129,3688.1102,65.1972,23.9129,3.4177,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,12,30,-18
9,Colby Howard,Chevrolet,41,40,2,2,3739.022,3780.222,41.2,3745.605,3761.5212,15.9161,6.583,18.7007,OTHER,False,False,False,False,0,0,29,28,1
24,Rajah Caruth #,Chevrolet,40,40,2,2,3707.012,3774.675,67.663,3717.7095,3758.9843,41.2747,10.6975,15.6906,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,12,27,-15
56,Timmy Hill,Toyota,41,40,2,2,3712.881,3749.212,36.331,3731.5911,3744.3037,12.7126,18.7101,4.9082,OTHER,False,False,False,False,0,0,19,26,-7
75,Parker Kligerman(i),Chevrolet,41,40,2,2,3758.721,3817.418,58.697,3779.2398,3813.9407,34.7009,20.5188,3.4772,OTHER,False,False,False,False,0,0,30,29,1
1,Jason A White,Toyota,41,41,2,2,3837.425,3866.426,29.0009,3843.9067,3848.3779,4.4711,6.4817,18.048,OTHER,False,False,False,False,0,0,18,11,7
17,Sammy Smith(i),Toyota,41,41,2,2,3840.105,3874.432,34.3269,3852.0482,3859.1887,7.1404,11.9432,15.2432,OTHER,False,False,False,False,0,0,21,18,3
9,Colby Howard,Chevrolet,42,42,2,2,3967.045,4009.684,42.639,3973.6714,3991.4557,17.7843,6.6264,18.2282,OTHER,False,False,False,False,0,0,13,21,-8
56,Timmy Hill,Toyota,42,42,2,2,3965.146,4034.209,69.0629,3984.1151,4028.9926,44.8775,18.9691,5.2163,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,9,27,-18
32,Bret Holmes #,Chevrolet,41,40,2,2,3720.945,3823.156,102.2109,3737.5303,3813.7061,76.1758,16.5853,9.4498,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,24,30,-6
98,Ty Majeski,Ford,41,41,2,2,3833.265,3885.273,52.008,3839.7025,3868.1643,28.4617,6.4375,17.1086,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,7,23,-16
16,Tyler Ankrum,Toyota,41,41,2,2,3831.355,3872.194,40.8389,3838.8351,3856.2858,17.4506,7.4801,15.9081,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,1,14,-13
15,Tanner Gray,Toyota,43,42,2,2,3976.559,4087.685,111.1259,3994.5588,4081.144,86.5852,17.9998,6.5409,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,25,31,-6
2,Nick Sanchez #,Chevrolet,41,41,2,2,3832.326,3877.096,44.7699,3844.2738,3867.0759,22.802,11.9478,10.02,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,4,20,-16
34,Jason M White,Toyota,42,41,2,2,3845.869,3914.02,68.1509,3870.4665,3905.1336,34.6671,24.5975,8.8863,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,26,25,1
