vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
9, ,,15,15,2,2,-1.0,-1.0,-1.0,5.86,8.64,2.78,6.86,15.518,OTHER,False,False,False,False,0,0,0,0,0,5544
21,Josh Berry,Frd,15,15,2,2,1284.739,1309.758,25.019,1302.175,1304.455,2.28,17.436,5.303,OTHER,False,False,False,False,0,0,2,6,-4,5544
16,AJ Allmendinger,Chv,15,15,2,2,1285.193,1311.995,26.802,1293.055,1296.935,3.88,7.862,15.06,OTHER,False,False,False,False,0,0,3,9,-6,5544
3, ,,15,15,2,2,-1.0,-1.0,-1.0,15.329,17.829,2.5,16.329,5.736,OTHER,False,False,False,False,0,0,0,0,0,5544
8, ,,15,15,2,2,-1.0,-1.0,-1.0,12.393,18.733,6.34,13.393,9.001,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,0,0,0,5544
10, ,,15,15,2,2,-1.0,-1.0,-1.0,11.365,15.365,4.0,12.365,10.55,OTHER,False,False,False,False,0,0,0,0,0,5544
1, ,,15,15,2,2,-1.0,-1.0,-1.0,3.415,6.555,3.14,4.415,18.147,OTHER,False,False,False,False,0,0,0,0,0,5544
23,Bubba Wallace,Tyt,15,15,2,2,1287.17,1313.452,26.282,1298.655,1301.915,3.26,11.485,11.537,OTHER,False,False,False,False,0,0,10,13,-3,5544
40,* Justin Allgaier(i),Chv,15,15,2,2,1287.554,1328.911,41.357,1303.195,1319.955,16.76,15.641,8.956,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,16,-5,5544
24,William Byron,Chv,15,15,2,2,1287.751,1313.011,25.26,1298.595,1301.255,2.66,10.844,11.756,OTHER,False,False,False,False,0,0,12,11,1,5544
47,Ricky Stenhouse Jr.,Chv,15,15,2,2,1288.253,1339.373,51.12,1293.475,1318.335,24.86,5.222,21.038,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,17,-4,5544
44,* JJ Yeley,Chv,15,15,2,2,1290.575,1319.082,28.507,1297.495,1301.815,4.32,6.92,17.267,OTHER,False,False,False,False,0,0,17,15,2,5544
54,Ty Gibbs,Tyt,15,15,2,2,1291.145,1422.951,131.806,1307.675,1415.355,107.68,16.53,7.596,OTHER,False,False,False,False,0,0,18,19,-1,5544
60,Ryan Preece,Frd,16,15,2,2,1333.401,1400.999,67.598,1352.095,1396.075,43.98,18.694,4.924,OTHER,False,False,False,False,0,0,19,18,1,5544
19,Chase Briscoe,Tyt,16,16,2,2,1414.15,1447.541,33.391,1432.995,1443.575,10.58,18.845,3.966,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,5,17,-12,5544
60,Ryan Preece,Frd,17,16,2,2,1469.204,1507.917,38.713,1489.595,1503.315,13.72,20.391,4.602,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,18,19,-1,5544
71,Michael McDowell,Chv,17,17,2,2,1542.655,1568.646,25.991,1557.955,1561.235,3.28,15.3,7.411,OTHER,False,False,False,False,0,0,1,6,-5,5544
56,* Martin Truex Jr.,Tyt,17,17,2,2,1543.012,1570.481,27.469,1553.495,1557.595,4.1,10.483,12.886,OTHER,False,False,False,False,0,0,2,10,-8,5544
77,Carson Hocevar,Chv,17,17,2,2,1543.485,1571.105,27.62,1550.115,1553.515,3.4,6.63,17.59,OTHER,False,False,False,False,0,0,3,11,-8,5544
45,Tyler Reddick,Tyt,17,17,2,2,1543.766,1570.211,26.445,1552.675,1555.855,3.18,8.909,14.356,OTHER,False,False,False,False,0,0,4,9,-5,5544
10, ,,17,17,2,2,-1.0,-1.0,-1.0,11.498,24.518,13.02,12.498,10.48,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,0,0,0,5544
8, ,,17,17,2,2,-1.0,-1.0,-1.0,12.372,35.132,22.76,13.372,9.441,OTHER,False,False,False,False,0,0,0,0,0,5544
44,* JJ Yeley,Chv,17,17,2,2,1548.995,1577.014,28.019,1555.955,1559.295,3.34,6.96,17.719,OTHER,False,False,False,False,0,0,14,12,2,5544
40,* Justin Allgaier(i),Chv,17,17,2,2,1549.48,1578.118,28.638,1564.695,1568.135,3.44,15.215,9.983,OTHER,False,False,False,False,0,0,15,13,2,5544
