race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5412,211,214,Accident,#19 Incident Turn 4,7,2
5412,217,228,Accident,#8 Incident Backstretch [Red Flag for Weather: 02:14:49],42,2
5412,236,241,Spin,#1 Spin Turn 4,42,2
5412,257,262,Spin,#7 Spin Turn 2,99,2
5412,266,274,Accident,"#3, 10, 2, 23, 43 Incident Turn 1",7,2
5412,285,292,Spin,#77 Spin Turn 3,99,2
5412,294,297,Accident,"#34, 12 Incident Turn 2",10,2
5412,301,303,Spin,#6 Spins Turn 2,71,2
5409,92,97,Competition,Stage 1 Conclusion,41,2
5409,117,122,Spin,No. 42 Spin Turn 4,16,2
5409,127,130,Spin,"No. 54, 48 Spin Frontstretch",43,2
5409,137,140,Weather,Weather [Red flag 1:21:20],8,2
5409,187,192,Competition,Stage 2 Conclusion,42,2
5409,203,208,Accident,No. 15 Incident Turn 2,42,2
5409,210,213,Accident,No. 43 Incident Turn 2,42,2
5409,220,225,Accident,No. 9 Incident Frontstetch,43,2
5409,229,234,Accident,No. 20 Incident Turn 2,43,2
5409,244,248,Accident,No. 6 Incident Turn 2,None,2
5409,300,304,Accident,"No. 2, 10 Incident Backstretch",12,2
5409,306,312,Unknown,"No. 5, 1, 54, 8, 3, 24 Turn 1",16,2
5409,314,319,Accident,"No. 41, 50, 6, 47, 4, 51 Incident Backstretch",2,2
5409,321,324,Accident,"No. 8, 9, 5 Incident Turn 1",6,2
5409,326,329,Accident,No. 4 Incident Turn 4,6,2
5410,18,24,Accident,No. 7 incident turn 5,66,2
5410,26,30,Accident,"No. 14 incident turn 6 [Red Flag: Lap 26, 1:43:01]",22,2
5410,35,37,Accident,No. 5 incident turn 6,43,2
5410,47,48,Competition,Stage 2 Conclusion,43,2
5410,52,53,Accident,No. 4 incident turn 2,None,2
5413,15,17,Accident,No. 10 Incident Turn 1,None,2
5413,32,35,Competition,Stage 1 Conclusion,None,2
5413,54,58,Unknown,No. 1 Indcident Turn 3,None,2
5413,97,100,Competition,Stage 2 Conclusion,71,2
5413,116,120,Accident,No. 38 Incident Turn 1,4,2
5413,122,126,Accident,"Nos. 2, 7, 8,16, 21, 41, 47 Incident Turn 1",31,2
5413,128,131,Accident,"Nos. 34, 42, 71 Incident Backstretch",None,2
5413,134,137,Unknown,Fluid on Backstretch,None,2
5416,52,55,Competition,Stage 1 Conclusion,33,2
5416,70,73,Debris,Debris Backstretch,6,2
5416,75,78,Accident,"#24, 16, 21 Incident Backstretch",2,2
5416,102,104,Competition,Stage 2 Conclusion,38,2
5416,106,109,Accident,"#19, 4, 54 Incident Turn 3",15,2
5416,111,114,Accident,"#84, 22, 77, 12, 3 Incident Turn 1",15,2
5416,126,129,Accident,#19 Incident Turn 3,51,2
5416,159,161,Accident,"#8, 11 Incident Turn 3",17,2
5416,163,165,Accident,"#11, 42, 14, 48, 31 Incident Turn 1 [Red Flag 00:17:08]",17,2
5416,167,167,Unknown,,None,2
5414,72,80,Competition,Stage 1 Conclusion,34,2
5414,232,240,Competition,Stage 2 Conclusion,4,2
5414,400,406,Accident,"#41, 47 incident turn 2",8,2
5414,408,408,Unknown,,None,2
5415,39,42,Spin,#11 Spins Turn 4,4,2
5415,47,55,Competition,Stage 1 Conclusion [Red Flag: 17:15:18],None,2
5415,110,115,Debris,Debris Turn 4,11,2
5415,117,125,Accident,"#5, 14, 17, 20, 22, 23, 38 Incident Turn 4",None,2
5415,137,141,Accident,"#7, 10 Incident Backstretch",34,2
5415,196,199,Accident,#19 Incident Turn 4,15,2
5415,201,204,Spin,#1 Spins Backstretch,51,2
5418,37,41,Competition,Stage 1 Conclusion,44,2
5418,61,66,Accident,"#1, 19, 41, 48, 24, 9, 43, 45, 5, 31, 7, 12, 3, 11, 10, 20, 42 Incident Backstretch",None,2
5418,82,88,Unknown,Possible Fluid On Backstretch from #16,48,2
5418,97,100,Competition,Stage 2 Conclusion,1,2
5418,141,144,Spin,#42 Spin Backstretch,19,2
5418,153,157,Accident,"#34, 5, 23, 22, 48, 45, 51, 24, 12, 8, 20, 47, 17, 33 Incident Turn 1",19,2
5418,160,162,Accident,"#4, 2 Incident Backstretch [Red Flag: 00:06:52]",5,2
5419,4,9,Accident,"#19, 12, 24 incident turn 2",None,2
5419,117,122,Competition,Stage 1 Conclusion,99,2
5419,232,237,Competition,Stage 2 Conclusion,77,2
5419,315,319,Accident,"#43, 77 incident turn 4",3,2
5419,323,327,Accident,"#38, 17 incident backstretch",9,2
5419,337,341,Accident,#77 incident turn 4,2,2
5419,345,350,Accident,"#23, 24, 10, 4, 99, 3, 54 incident turn 2 ",48,2
5411,57,67,Accident,"#5, 14 Incident Turn 2 / Stage 1 Conclusion",None,2
5411,115,119,Debris,Debris on track,None,2
5411,162,166,Competition,Stage 2 Conclusion,None,2
5411,176,181,Accident,#42 Incident Backstretch,None,2
5411,206,211,Accident,"#12, 19, 17, 16 Incident Backstretch",42,2
5411,251,255,Debris,Debris on track,16,2
5411,260,264,Accident,"#21, 10 Incident Backstretch",16,2
5411,266,266,Accident,"#71, 38, 11, 78, 42, 16, 43, 4, 15, 21, 23 Incident Turn 4",None,2
5417,2,5,Unknown,"#12, 8 Stalled On Track",None,2
5417,22,24,Competition,Stage 1 Conclusion,11,2
5417,39,42,Competition,#99 Stalled In Turn 6 / Stage 2 Conclusion,8,2
5417,48,49,Accident,"#5, 6, 11 Incident Turn 2",99,2
5417,81,83,Debris,Debris Turn 6,None,2
5417,85,87,Accident,"#6, 24 Incident Turn 2",21,2
5417,89,90,Accident,"#8, 45 Incident Turn 2",11,2
5429,24,29,Accident,"#1, 14, 15, 91 Incident Turn 1",None,2
5429,32,35,Competition,Stage 1 Conclusion,None,2
5429,38,42,Accident,"#21, 16, 97, 48, 2, 20, 10, 5, 11, 35, 51 Incident Backstretch",None,2
5429,46,48,Accident,"#00, 7 Incident Backstretch",20,2
5429,52,56,Spin,#20 Spin Frontstretch,97,2
5429,62,66,Competition,Stage 2 Conclusion,20,2
5429,98,102,Spin,#27 Spin Frontstretch,07,2
5429,104,109,Accident,"#6, 27, 42, 51 Incident Backstretch",None,2
5429,113,117,Accident,"#7, 00, 44, 10, 26 Incident Backstretch",97,2
5433,42,47,Competition,Stage 1 Conclusion,4,2
5433,59,63,Accident,"#14, 91 Incident Turn 1",5,2
5433,82,87,Competition,Stage 2 Conclusion,78,2
5433,162,167,Unknown,#39 Stopped On Track,None,2
5431,9,13,Accident,"#1, 31 incident turn 4",None,2
5431,47,53,Competition,Stage 1 Conclusion,14,2
5431,92,96,Competition,Stage 2 Conclusion,14,2
5431,124,128,Unknown,#31 stalled on track,51,2
5432,6,11,Accident,"#11, 4, 51, 07 Incident Turn 2",None,2
5432,47,54,Competition,Stage 1 Conclusion,14,2
5432,92,100,Competition,Stage 2 Conclusion,42,2
5432,138,143,Accident,#15 Incident Turn 2,29,2
5432,145,151,Accident,"#31, 15, 27, 20, 98, 1, 44, 21, 81, 17, 43 Incident Backstretch [Red Flag 11:05]",78,2
5432,197,203,Accident,#7 Incident Turn 1,92,2
5434,16,17,Competition,Stage 1 Conclusion,18,2
5434,32,34,Competition,Stage 2 Conclusion,18,2
5434,44,45,Unknown,Fluid on track,27,2
5434,47,48,Accident,"#43, 42, 07, 29, 98 Incident Turn 11",27,2
5435,21,27,Accident,#32 Incident Turn 3,None,2
5435,44,56,Accident,"#9, 39 Incident Turn 2",None,2
5435,77,84,Competition,Stage 1 Conclusion,39,2
5435,97,101,Accident,"#6, 14 Incident Turn 4",None,2
5435,152,159,Competition,Stage 2 Concluson,6,2
5435,174,183,Accident,"#4, 35 Incident Turn 1",44,2
5456,13,16,Spin,#10 Spin Turn 2,None,2
5456,47,52,Competition,Stage 1 Conclusion,92,2
5456,81,84,Spin,#42 Spin Turn 2,92,2
5456,92,97,Competition,Stage 2 Conclusion,42,2
5456,103,106,Accident,#27 Incident Frontstretch,35,2
5456,174,179,Accident,"#7, 42 Incident Turn 2",51,2
5456,185,189,Accident,"#15, 91 Incident Frontstretch",38,2
5437,26,30,Accident,#7 incident backstretch,None,2
5437,52,55,Competition,Stage 2 Conclusion,None,2
