race_id,car_number,driver_fullname,driver_id,lap,lap_assessed,penalty,notes
5021,11,Denny Hamlin,1361,0,0,Tail End,Unapproved Adjustments
5021,19,Martin Truex Jr,3368,0,0,Tail End,Unapproved Adjustments
5021,20,Christopher Bell,4153,0,0,Tail End,Unapproved Adjustments
5021,23,Bubba Wallace,4025,0,0,Tail End,Unapproved Adjustments
5021,96,Harrison Burton,4217,0,0,Tail End,Unapproved Adjustments
5021,96,Harrison Burton,4217,26,30,Tail End,
5021,19,Martin Truex Jr,3368,26,30,Tail End,
5021,37,Ryan Preece,4070,26,30,Tail End,
5021,28,Joey Gase,4004,39,43,Tail End,
5021,47,Ricky Stenhouse Jr,3888,60,66,Tail End,
5021,2,Brad Keselowski,1816,60,66,Tail End,
5021,23,Bubba Wallace,4025,60,66,Tail End,
5021,14,Chase Briscoe,4228,60,66,Tail End,
5021,10,Aric Almirola,40,60,66,Tail End,
5021,99,Daniel Suarez,4113,83,84,Pass Thru,
5021,42,Ross Chastain,4001,83,84,Pass Thru,
5021,52,Josh Bilicki,4213,87,96,Pass Thru,
5021,4,Kevin Harvick,1416,91,92,Pass Thru,
5021,17,Chris Buescher,3989,91,92,Pass Thru,
5021,11,Denny Hamlin,1361,92,93,Pass Thru,
5021,11,Denny Hamlin,1361,93,95,Pass Thru,
5021,1,Kurt Busch,453,104,0,Tail End,Garage
5021,47,Ricky Stenhouse Jr,3888,104,109,Tail End,
5021,4,Kevin Harvick,1416,105,109,Tail End,
5021,11,Denny Hamlin,1361,119,126,Tail End,
5021,48,Alex Bowman,4045,120,0,Tail End,Garage
5021,9,Chase Elliott,4062,120,126,Tail End,
5021,41,Cole Custer,4104,120,126,Tail End,
5021,24,William Byron,4184,120,126,Tail End,
5021,19,Martin Truex Jr,3368,120,126,Tail End,
5021,00,Quin Houff,4229,154,157,Pass Thru,
5021,6,Ryan Newman,2394,155,158,Pass Thru,
5021,6,Ryan Newman,2394,158,159,Pass Thru,
5021,11,Denny Hamlin,1361,172,176,Tail End,
5021,37,Ryan Preece,4070,172,176,Tail End,
5021,11,Denny Hamlin,1361,172,176,Tail End,
5021,1,Kurt Busch,453,173,176,Tail End,
5021,19,Martin Truex Jr,3368,185,189,Tail End,
5021,19,Martin Truex Jr,3368,185,189,Tail End,
5029,38,Anthony Alfredo,4301,0,0,Tail End,Unapproved Adjustments
5029,43,Erik Jones,4059,0,0,Tail End,Multiple Inspection Failures
5029,42,Ross Chastain,4001,0,0,Tail End,Multiple Inspection Failures
5029,14,Chase Briscoe,4228,26,30,Tail End,
5029,14,Chase Briscoe,4228,26,30,Tail End,Not single file entering pits
5029,6,Ryan Newman,2394,35,38,Other - See Notes,Pit- Unapproved body modification
5029,00,Quin Houff,4229,85,87,Tail End,
5029,51,Cody Ware,4125,123,126,Pass Thru,
5029,00,Quin Houff,4229,125,131,Pass Thru,
5029,52,Josh Bilicki,4213,166,167,Tail End,
5029,8,Tyler Reddick,4065,212,216,Pass Thru,
5029,10,Aric Almirola,40,213,220,Pass Thru,
5029,51,Cody Ware,4125,217,220,Pass Thru,
5029,51,Cody Ware,4125,217,220,Pass Thru,
5029,4,Kevin Harvick,1416,230,235,Tail End,
5029,99,Daniel Suarez,4113,232,235,Tail End,
5029,7,Corey Lajoie,4096,233,235,Tail End,
5029,52,Josh Bilicki,4213,234,235,Tail End,
5029,11,Denny Hamlin,1361,245,249,Tail End,
5029,33,Austin Cindric,4180,253,257,Tail End,
5029,47,Ricky Stenhouse Jr,3888,253,257,Tail End,
5029,37,Ryan Preece,4070,257,0,Tail End,Garage
5029,20,Christopher Bell,4153,258,265,Tail End,
5029,33,Austin Cindric,4180,259,265,Tail End,
5014,10,Aric Almirola,40,0,0,Tail End,Multiple Inspection Failures 
5014,9,Chase Elliott,4062,0,0,Tail End,Unapproved Adjustments
5014,1,Kurt Busch,453,10,11,Tail End,
5014,18,Kyle Busch,454,23,28,Tail End,
5014,5,Kyle Larson,4030,92,97,Tail End,
5014,15,James Davison,4211,96,97,Tail End,
