race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4396,1,2015,FedEx 400 Benefiting Autism Speaks,1,1,103,Dover International Speedway,2015-05-31T13:00:00,2015-05-31T13:00:00,2015-05-29T00:00:00,,400.0,405.0,400,405,,,,43,1361,160.121,15,9,7,40,119.547,03:23:16,,5977115.0,"Jimmie Johnson won the FedEx 400 benefiting Autism Speaks, his 74th career NASCAR Sprint Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 88 (changing rear gear).",0,MRN,FS1,922,,,,,,,,
4412,1,2015,AAA 400,1,1,103,Dover International Speedway,2015-10-04T14:30:00,2015-10-04T14:30:00,,,400.0,400.0,400,400,,,,43,0,0.0,14,3,8,43,119.87,03:20:13,,5255734.0,"Kevin Harvick won the AAA 400, his 31st career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 78 (unapproved adjustments).",0,MRN,NBCSN,1038,,,,,,,,
4379,1,2015,Sprint Unlimited,2,1,105,Daytona International Speedway,2015-02-14T20:00:00,2015-02-14T20:00:00,,,187.5,187.5,75,75,,,,25,0,0.0,13,8,4,17,135.569,01:22:59,,1051074.0,"Matt Kenseth won the Sprint Unlimited at Daytona International Speedway, his first victory in the preseason event. Prior to the start of the race, no cars dropped to the rear under penalty.",0,MRN,FOX,3222,,,,,,,,
4380,1,2015,Budweiser Duel #1,2,1,105,Daytona International Speedway,2015-02-19T19:00:00,2015-02-19T19:00:00,,,150.0,150.0,60,60,,,,25,0,0.0,9,5,3,13,144.462,01:02:18,,19809272.0,"Dale Earnhardt Jr. won the Budweiser Duel at Daytona #1 at Daytona International Speedway, his fourth victory in the Daytona 500 qualifying event. Prior to the start of the race, the following cars dropped to the rear of the field: #15, 23, 46 (backup car), 88 (failed post qualifying inspection).",0,MRN,FS1,3217,,,,,,,,
4381,1,2015,Budweiser Duel #2 ,2,1,105,Daytona International Speedway,2015-02-19T19:00:00,2015-02-19T19:00:00,,,150.0,160.0,60,64,,,,24,0,0.0,7,5,3,12,144.724,01:06:20,,19809272.0,"Jimmie Johnson won the Budweiser Duel at Daytona #2 at Daytona International Speedway, his second victory in the Daytona 500 qualifying event. Prior to the start of the race, the following cars dropped to the rear of the field: #31 (engine change) #32, 10, 26, 44 (backup car), 11 (failed post qualifying inspection).",0,MRN,FS1,3218,,,,,,,,
4382,1,2015,Daytona 500,1,1,105,Daytona International Speedway,2015-02-22T13:00:00,2015-02-22T13:00:00,2015-02-15T00:00:00,,500.0,507.5,200,203,,,,43,1237,201.293,27,12,7,26,161.939,03:08:02,,19809272.0,"Joey Logano won the Daytona 500 at Daytona International Speedway, his ninth victory in the NASCAR Sprint Cup Series and first Daytona 500. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: #18, #41 (Driver Change), #3, #6, #9, #10, #31, #32, #34, #42, #47, #83 (Backup Car).",0,MRN,FOX,385,,,,,,,,
4401,1,2015,Coke Zero 400 Powered by Coca-Cola,1,1,105,Daytona International Speedway,2015-07-05T19:45:00,2015-07-05T19:45:00,2015-07-04T00:00:00,,400.0,402.5,160,161,,,,43,0,0.0,22,12,9,43,134.941,02:58:58,,6343472.0,"Dale Earnhardt Jr. won the Coke Zero 400, his 25th career NASCAR Sprint Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,NBC,408,,,,,,,,
4408,1,2015,Folds of Honor QuikTrip 500,1,1,111,Atlanta Motor Speedway,2015-03-01T13:00:00,2015-03-01T13:00:00,2015-02-27T00:00:00,,500.5,500.5,325,325,,,,43,3859,194.683,28,12,10,54,131.078,03:49:06,,6299292.0,"Jimmie Johnson won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 71st victory in the NASCAR Sprint Cup Series and fourth at Atlanta. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #4 (engine change), #14 (missed driver introductions), #33 (driver change).",0,PRN,FOX,3335,,,,,,,,
4403,1,2015,Crown Royal Presents the Jeff Kyle 400 at the Brickyard,1,1,123,Indianapolis Motor Speedway,2015-07-26T15:30:00,2015-07-26T15:30:00,2015-07-25T00:00:00,,400.0,410.0,160,164,,,,43,923,183.464,16,6,9,36,131.656,03:06:51,,9358657.0,"Kyle Busch won the Crown Royal Presents the Jeff Kyle 400 at the Brickyard, his 33rd career NASCAR Sprint Cup Series victory. Prior to the 

start of the race, no cars dropped to the rear of the field.",0,IMS,NBCSN,1716,,,,,,,,
4398,1,2015,Quicken Loans 400,1,1,133,Michigan International Speedway,2015-06-14T13:00:00,2015-06-14T13:00:00,2015-06-12T00:00:00,,400.0,276.0,200,138,,,,43,1772,201.992,17,11,5,38,116.688,02:21:55,,5263885.0,"Kurt Busch won the Quicken Loans 400, his 27th career NASCAR Sprint Series victory. The race was shortened due to inclement weather. Prior to the start 
of the race, the following car dropped to the rear of the field for the reason indicated: No. 23 (engine change).",0,MRN,FS1,917,,,,,,,,
4406,1,2015,Pure Michigan 400,1,1,133,Michigan International Speedway,2015-08-16T14:30:00,2015-08-16T14:30:00,2015-08-14T00:00:00,,400.0,400.0,200,200,,,,43,1810,197.488,16,8,8,31,143.455,02:47:18,,5260905.0,"Matt Kenseth won the Pure Michigan 400, his 34th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 3, 33 (engine change); No. 18 (backup car).",0,MRN,NBCSN,930,,,,,,,,
4402,1,2015,5-hour ENERGY 301,1,1,138,New Hampshire Motor Speedway,2015-07-19T13:30:00,2015-07-19T13:30:00,2015-07-17T00:00:00,,318.46,318.458,301,301,,,,43,923,135.164,9,7,7,34,108.504,02:56:06,,5386439.0,"Kyle Busch won the 5-hour ENERGY 301, his 32nd career NASCAR Sprint Cup Series victory, and second at New Hampshire Motor Speedway. Prior to the start of the race, no cars dropped to the rear of the field.",0,PRN,NBCSN,1683,,,,,,,,
4411,1,2015,Sylvania 300,1,1,138,New Hampshire Motor Speedway,2015-09-27T14:00:00,2015-09-27T14:00:00,2015-09-25T00:00:00,,317.4,317.4,300,300,,,,43,923,137.98,16,7,9,41,106.48,02:58:51,,5386439.0,"Matt Kenseth won the SYLVANIA 300, his 36th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 32 (Rear Gear Change).",0,PRN,NBCSN,1814,,,,,,,,
4405,1,2015,Cheez-It 355,1,1,157,Watkins Glen International,2015-08-09T14:00:00,2015-08-09T14:00:00,2015-08-08T00:00:00,,220.5,220.5,90,90,,,,43,3774,127.839,8,8,5,16,91.42,02:24:43,,4960524.0,"Joey Logano won the CHEEZ-It 355 at The Glen, his 10th career NASCAR Sprint Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,NBCSN,1482,,,,,,,,
4393,1,2015,Sprint Showdown,2,1,162,Charlotte Motor Speedway,2015-05-15T19:00:00,2015-05-15T19:00:00,2015-05-15T00:00:00,,60.0,60.0,40,40,,,,29,2225,189.673,4,4,2,2,102.37,00:35:10,,0.0,Greg Biffle and Clint Bowyer won the two segments in the Sprint Showdown.,0,MRN,FS1,3690,,,,,,,,
4394,1,2015,NASCAR Sprint All-Star Race,2,1,162,Charlotte Motor Speedway,2015-05-16T19:00:00,2015-05-16T19:00:00,2015-05-16T00:00:00,,135.0,165.0,110,110,,,,20,1361,145.648,7,4,4,4,106.452,01:33:00,,0.0,"Denny Hamlin won the NASCAR Sprint All-Star Race, his first win in the annual non-points race. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 10 (engine change).",0,MRN,FS1,3670,,,,,,,,
4395,1,2015,Coca-Cola 600,1,1,162,Charlotte Motor Speedway,2015-05-24T18:00:00,2015-05-24T18:00:00,2015-05-21T00:00:00,,600.0,600.0,400,400,,,,43,1810,194.252,22,9,8,39,147.803,04:03:34,,6660588.0,"Carl Edwards won the Coca-Cola 600, his 24th career NASCAR Sprint Cup Series victory. ",0,PRN,FOX,447,,,,,,,,
4414,1,2015,Bank of America 500,1,1,162,Charlotte Motor Speedway,2015-10-10T19:00:00,2015-10-11T12:30:00,2015-10-08T00:00:00,,501.0,501.0,334,334,,,,43,1810,194.532,14,10,9,44,139.76,03:35:05,,5306331.0,"Joey Logano won the Bank of America 500, his 12th career NASCAR Sprint Cup Series victory.",0,PRN,NBCSN,468,,,,,,,,
4397,1,2015,Axalta 'We Paint Winners' 400,1,1,198,Pocono Raceway,2015-06-07T13:00:00,2015-06-07T13:00:00,2015-06-05T00:00:00,,400.0,400.0,160,160,,,,43,453,177.599,12,6,8,31,134.266,02:58:45,,5084726.0,"Martin Truex Jr. won the Axalta 'We Paint Winners' 400, his third career NASCAR Sprint Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 22 (changing rear gear).",0,MRN,FS1,1358,,,,,,,,
