race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,stage_4_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round
5095,2,2021,Ag-Pro 300,1,True,82,Talladega Superspeedway,2021-04-24T16:00:00,2021-04-24T15:00:00,1900-01-01T00:00:00,,300.0,239.4,113,90,25,25,40,0,40,0,0.0,22,12,4,15,139.164,1:43:13,Caution,0,0,MRN,FOX,2447,True,0
5096,2,2021,Steakhouse Elite 200,1,False,4,Darlington Raceway,2021-05-08T13:00:00,2021-05-08T13:00:00,1900-01-01T00:00:00,,199.92,202.17,147,148,45,45,58,0,40,0,0.0,13,7,9,43,98.739,2:02:51,0.422,0,0,MRN,FS1,4970,False,0
5097,2,2021,Drydene 200,1,False,103,Dover International Speedway,2021-05-15T13:30:00,2021-05-15T13:30:00,1900-01-01T00:00:00,,200.0,200.0,200,200,45,45,110,0,40,0,0.0,9,6,7,45,94.987,2:06:20,3.796,0,0,MRN,FS1,2141,True,0
5098,2,2021,Pit Boss 250,1,True,214,Circuit of The Americas,2021-05-22T16:00:00,2021-05-22T15:00:00,2021-05-22T00:00:00,,157.6,157.6,46,46,14,16,16,0,36,454,76.558,6,5,4,7,72.723,2:09:25,11.024,0,0,PRN,FS1,5098,True,0
5099,2,2021,Alsco Uniforms 300,1,False,162,Charlotte Motor Speedway,2021-05-29T13:00:00,2021-05-29T13:00:00,2021-05-29T13:00:00,,300.0,300.0,200,200,45,45,110,0,36,4269,183.986,12,7,10,51,112.535,2:39:57,0.437,0,0,PRN,FS1,2143,True,0
5100,2,2021,B&L Transport 170 at Mid-Ohio,1,False,72,Mid-Ohio Sports Car Course,2021-06-05T13:00:00,2021-06-05T13:00:00,1900-01-01T00:00:00,,169.35,187.2,75,78,25,25,28,0,40,0,0.0,7,5,7,23,66.212,2:39:36,0.809,0,0,MRN,FS1,5100,True,0
5101,2,2021,Alsco Uniforms 250 Powered by Cheddar's Scratch Kitchen,1,False,43,Texas Motor Speedway,2021-06-12T16:00:00,2021-06-12T15:00:00,1900-01-01T00:00:00,,250.5,256.5,167,171,40,40,91,0,40,0,0.0,14,8,10,52,107.773,2:22:48,0.433,0,0,PRN,FS1,2576,True,0
5102,2,2021,Tennessee Lottery 250,1,False,52,Nashville Superspeedway,2021-06-19T15:30:00,2021-06-19T15:30:00,2021-06-19T14:30:00,,250.04,251.37,188,189,45,45,99,0,36,454,157.396,12,5,8,46,107.118,2:20:48,1.110,0,0,MRN,NBCSN,5102,True,0
5103,2,2021,Pocono Green 225 Recycled by J.P. Mascaro & Sons,1,False,198,Pocono Raceway,2021-06-27T12:00:00,2021-06-27T12:00:00,1900-01-01T00:00:00,2021-06-27T12:00:00,225.0,225.0,90,90,20,20,50,0,40,0,0.0,11,8,6,21,117.511,1:54:53,0.331,0,0,MRN,NBCSN,4532,True,0
5104,2,2021,Henry 180,1,False,34,Road America,2021-07-03T14:30:00,2021-07-03T13:30:00,2021-07-03T00:00:00,2021-07-03T14:30:00,182.16,182.16,45,45,10,10,25,0,36,4368,107.532,12,8,7,11,74.972,2:25:47,3.522,0,0,MRN,NBC,3793,True,0
5105,2,2021,Credit Karma Money 250,1,False,111,Atlanta Motor Speedway,2021-07-10T15:30:00,2021-07-10T15:30:00,1900-01-01T00:00:00,2021-07-10T15:30:00,251.0,252.56,163,164,40,40,84,0,40,0,0.0,16,9,10,43,109.032,2:18:59,.550,0,0,PRN,NBCSN,2432,True,0
5106,2,2021,Ambetter Get Vaccinated 200,1,False,138,New Hampshire Motor Speedway,2021-07-17T15:00:00,2021-07-17T15:00:00,1900-01-01T00:00:00,2021-07-17T15:00:00,211.6,211.6,200,200,45,45,110,0,40,0,0.0,5,4,5,28,102.031,2:04:26,6.241,0,0,PRN,NBCSN,5106,True,0
5107,2,2021,Skrewball Peanut Butter Whiskey 200,1,False,157,Watkins Glen International,2021-08-07T16:00:00,2021-08-07T16:00:00,1900-01-01T00:00:00,2021-08-07T16:00:00,200.9,200.9,82,82,20,20,42,0,40,0,0.0,12,6,8,15,84.088,2:23:21,0.948,0,0,MRN,CNBC,5107,True,0
5108,2,2021,Pennzoil 150 at the Brickyard,1,False,211,Indianapolis Motor Speedway Road Course,2021-08-14T16:00:00,2021-08-14T16:00:00,2021-08-14T16:00:00,2021-08-14T16:00:00,151.2,151.218,62,62,20,20,22,0,36,3774,97.744,8,5,5,15,73.825,2:02:54,2.108,0,0,IMS,NBCSN,4074,True,0
5109,2,2021,New Holland 250,1,False,133,Michigan International Speedway,2021-08-21T15:30:00,2021-08-21T15:30:00,1900-01-01T00:00:00,2021-08-21T15:30:00,250.0,278.0,125,139,30,30,79,0,40,0,0.0,13,6,9,43,115.619,2:24:16,.163,0,0,MRN,NBCSN,5109,True,0
5110,2,2021,Wawa 250,1,True,105,Daytona International Speedway,2021-08-27T19:30:00,2021-08-27T19:30:00,1900-01-01T00:00:00,2021-08-28T12:30:00,250.0,250.0,100,100,30,30,40,0,40,0,0.0,17,8,7,29,121.753,2:03:12,0.023,0,0,MRN,NBCSN,2744,True,0
5111,2,2021,Sport Clips Haircuts VFW Help A Hero 200,1,False,4,Darlington Raceway,2021-09-04T15:30:00,2021-09-04T15:30:00,1900-01-01T00:00:00,2021-09-04T15:30:00,200.1,207.63,147,152,45,45,62,0,40,0,0.0,19,8,8,41,102.422,2:01:38,0.219,0,0,MRN,NBCSN,2200,True,0
5112,2,2021,Go Bowling 250 ,1,False,26,Richmond Raceway,2021-09-11T14:30:00,2021-09-11T14:30:00,1900-01-01T00:00:00,2021-09-11T14:30:00,187.5,187.5,250,250,75,75,100,0,40,0,0.0,15,8,9,58,83.364,2:14:57,0.381,0,0,MRN,NBCSN,2332,True,0
