race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5148,1,Ryan Blaney,4023,12,7,4
5148,1,Chase Briscoe,4228,14,8,3
5148,1,Kyle Busch,454,18,9,2
5148,1,Christopher Bell,4153,20,10,1
5148,2,Ross Chastain,4001,1,1,10
5148,2,Chase Elliott,4062,9,2,9
5148,2,Kyle Larson,4030,5,3,8
5148,2,William Byron,4184,24,4,7
5148,2,Kyle Busch,454,18,5,6
5148,2,Martin Truex Jr,3368,19,6,5
5148,2,Joey Logano,3859,22,7,4
5148,2,Kevin Harvick,1416,4,8,3
5148,2,Denny Hamlin,1361,11,9,2
5148,2,Bubba Wallace,4025,23,10,1
5149,1,William Byron,4184,24,1,10
5149,1,Chase Briscoe,4228,14,2,9
5149,1,Chase Elliott,4062,9,3,8
5149,1,Tyler Reddick,4065,8,4,7
5149,1,Alex Bowman,4045,48,5,6
5149,1,Christopher Bell,4153,20,6,5
5149,1,Kyle Larson,4030,5,7,4
5149,1,Kevin Harvick,1416,4,8,3
5149,1,Joey Logano,3859,22,9,2
5149,1,Austin Dillon,3873,3,10,1
5149,2,Ryan Blaney,4023,12,1,10
5149,2,Chase Elliott,4062,9,2,9
5149,2,Kevin Harvick,1416,4,3,8
5149,2,William Byron,4184,24,4,7
5149,2,Kyle Larson,4030,5,5,6
5149,2,Tyler Reddick,4065,8,6,5
5149,2,Ross Chastain,4001,1,7,4
5149,2,Chase Briscoe,4228,14,8,3
5149,2,Austin Dillon,3873,3,9,2
5149,2,Joey Logano,3859,22,10,1
5150,1,William Byron,4184,24,1,10
5150,1,Denny Hamlin,1361,11,2,9
5150,1,Daniel Suárez,4113,99,3,8
5150,1,Ricky Stenhouse Jr,3888,47,4,7
5150,1,Erik Jones,4059,43,5,6
5150,1,Kurt Busch,453,45,6,5
5150,1,Alex Bowman,4045,48,7,4
5150,1,Tyler Reddick,4065,8,8,3
5150,1,Kyle Larson,4030,5,9,2
5150,1,Christopher Bell,4153,20,10,1
5150,2,Ryan Blaney,4023,12,1,10
5150,2,Chase Elliott,4062,9,2,9
5150,2,Chase Briscoe,4228,14,3,8
5150,2,Aric Almirola,40,10,4,7
5150,2,Brad Keselowski,1816,6,5,6
5150,2,Daniel Suárez,4113,99,6,5
5150,2,Martin Truex Jr,3368,19,7,4
5150,2,Bubba Wallace,4025,23,8,3
5150,2,William Byron,4184,24,9,2
5150,2,Ross Chastain,4001,1,10,1
5151,1,Daniel Suárez,4113,99,1,10
5151,1,Ryan Blaney,4023,12,2,9
5151,1,Alex Bowman,4045,48,3,8
5151,1,Joey Logano,3859,22,4,7
5151,1,Kyle Larson,4030,5,5,6
5151,1,Justin Haley,4172,31,6,5
5151,1,Chase Elliott,4062,9,7,4
5151,1,Chase Briscoe,4228,14,8,3
5151,1,Harrison Burton,4217,21,9,2
5151,1,Austin Cindric,4180,2,10,1
5151,2,Denny Hamlin,1361,11,1,10
5151,2,Kyle Busch,454,18,2,9
5151,2,Joey Logano,3859,22,3,8
5151,2,Ryan Blaney,4023,12,4,7
5151,2,Aric Almirola,40,10,5,6
5151,2,Austin Dillon,3873,3,6,5
5151,2,Harrison Burton,4217,21,7,4
5151,2,Ross Chastain,4001,1,8,3
5151,2,Austin Cindric,4180,2,9,2
5151,2,Bubba Wallace,4025,23,10,1
5152,1,Ryan Blaney,4023,12,1,10
5152,1,William Byron,4184,24,2,9
5152,1,Ross Chastain,4001,1,3,8
5152,1,Martin Truex Jr,3368,19,4,7
5152,1,Kyle Busch,454,18,5,6
5152,1,Chase Elliott,4062,9,6,5
5152,1,Christopher Bell,4153,20,7,4
5152,1,Joey Logano,3859,22,8,3
5152,1,Brad Keselowski,1816,6,9,2
5152,1,Kevin Harvick,1416,4,10,1
5152,2,Martin Truex Jr,3368,19,1,10
5152,2,Christopher Bell,4153,20,2,9
5152,2,Ross Chastain,4001,1,3,8
5152,2,Joey Logano,3859,22,4,7
5152,2,Ryan Blaney,4023,12,5,6
5152,2,Chase Elliott,4062,9,6,5
5152,2,Kevin Harvick,1416,4,7,4
5152,2,Kyle Busch,454,18,8,3
5152,2,Kyle Larson,4030,5,9,2
5152,2,Brad Keselowski,1816,6,10,1
5153,1,Chase Elliott,4062,9,1,10
5153,1,William Byron,4184,24,2,9
5153,1,Cole Custer,4104,41,3,8
5153,1,Christopher Bell,4153,20,4,7
5153,1,Aric Almirola,40,10,5,6
5153,1,Kevin Harvick,1416,4,6,5
5153,1,Ryan Blaney,4023,12,7,4
5153,1,Joey Logano,3859,22,8,3
5153,1,Austin Cindric,4180,2,9,2
5153,1,Kurt Busch,453,45,10,1
5153,2,Chase Elliott,4062,9,1,10
5153,2,William Byron,4184,24,2,9
5153,2,Joey Logano,3859,22,3,8
5153,2,Ryan Blaney,4023,12,4,7
5153,2,Cole Custer,4104,41,5,6
5153,2,Austin Dillon,3873,3,6,5
5153,2,Aric Almirola,40,10,7,4
5153,2,Austin Cindric,4180,2,8,3
5153,2,Christopher Bell,4153,20,9,2
5153,2,Kevin Harvick,1416,4,10,1
5154,1,Kyle Larson,4030,5,1,10
5154,1,Ty Dillon,4013,42,2,9
5154,1,Christopher Bell,4153,20,3,8
5154,1,Austin Dillon,3873,3,4,7
5154,1,Kyle Busch,454,18,5,6
5154,1,Alex Bowman,4045,48,6,5
5154,1,Joey Logano,3859,22,7,4
5154,1,Tyler Reddick,4065,8,8,3
5154,1,Ryan Blaney,4023,12,9,2
5154,1,Ricky Stenhouse Jr,3888,47,10,1
5154,2,Chase Briscoe,4228,14,1,10
5154,2,Christopher Bell,4153,20,2,9
5154,2,Daniel Suárez,4113,99,3,8
5154,2,Chase Elliott,4062,9,4,7
5154,2,Kyle Busch,454,18,5,6
5154,2,Kyle Larson,4030,5,6,5
5154,2,Joey Logano,3859,22,7,4
5154,2,Michael McDowell,3832,34,8,3
5154,2,Ryan Blaney,4023,12,9,2
5154,2,Tyler Reddick,4065,8,10,1
5155,1,Bubba Wallace,4025,23,1,10
5155,1,Kyle Larson,4030,5,2,9
5155,1,Christopher Bell,4153,20,3,8
5155,1,William Byron,4184,24,4,7
5155,1,Martin Truex Jr,3368,19,5,6
5155,1,Chase Elliott,4062,9,6,5
5155,1,Kurt Busch,453,45,7,4
5155,1,Erik Jones,4059,43,8,3
5155,1,Alex Bowman,4045,48,9,2
5155,1,Ricky Stenhouse Jr,3888,47,10,1
5155,2,William Byron,4184,24,1,10
5155,2,Chase Elliott,4062,9,2,9
5155,2,Kyle Larson,4030,5,3,8
5155,2,Martin Truex Jr,3368,19,4,7
5155,2,Alex Bowman,4045,48,5,6
5155,2,Kyle Busch,454,18,6,5
5155,2,Aric Almirola,40,10,7,4
5155,2,Erik Jones,4059,43,8,3
5155,2,Ross Chastain,4001,1,9,2
5155,2,Kurt Busch,453,45,10,1
5156,1,Denny Hamlin,1361,11,1,10
5156,1,Chase Elliott,4062,9,2,9
5156,1,Christopher Bell,4153,20,3,8
5156,1,Ross Chastain,4001,1,4,7
5156,1,Martin Truex Jr,3368,19,5,6
5156,1,Kyle Larson,4030,5,6,5
5156,1,William Byron,4184,24,7,4
5156,1,Chris Buescher,3989,17,8,3
5156,1,Kyle Busch,454,18,9,2
5156,1,Brad Keselowski,1816,6,10,1
5156,2,Ryan Blaney,4023,12,1,10
5156,2,Kyle Busch,454,18,2,9
5156,2,Alex Bowman,4045,48,3,8
5156,2,Martin Truex Jr,3368,19,4,7
5156,2,Ricky Stenhouse Jr,3888,47,5,6
5156,2,Ross Chastain,4001,1,6,5
5156,2,Erik Jones,4059,43,7,4
5156,2,Harrison Burton,4217,21,8,3
5156,2,Chris Buescher,3989,17,9,2
5156,2,Chase Elliott,4062,9,10,1
5157,1,Joey Logano,3859,22,1,10
5157,1,Ross Chastain,4001,1,2,9
5157,1,Christopher Bell,4153,20,3,8
5157,1,Kyle Busch,454,18,4,7
5157,1,Martin Truex Jr,3368,19,5,6
5157,1,William Byron,4184,24,6,5
5157,1,Denny Hamlin,1361,11,7,4
5157,1,Erik Jones,4059,43,8,3
5157,1,Tyler Reddick,4065,8,9,2
5157,1,Bubba Wallace,4025,23,10,1
5157,2,Ross Chastain,4001,1,1,10
5157,2,Martin Truex Jr,3368,19,2,9
5157,2,Joey Logano,3859,22,3,8
5157,2,Denny Hamlin,1361,11,4,7
5157,2,William Byron,4184,24,5,6
5157,2,Erik Jones,4059,43,6,5
5157,2,Christopher Bell,4153,20,7,4
5157,2,Chase Elliott,4062,9,8,3
5157,2,Aric Almirola,40,10,9,2
5157,2,Daniel Suárez,4113,99,10,1
5158,1,Kyle Busch,454,18,1,10
5158,1,Ross Chastain,4001,1,2,9
5158,1,Chase Elliott,4062,9,3,8
5158,1,Tyler Reddick,4065,8,4,7
5158,1,William Byron,4184,24,5,6
5158,1,Martin Truex Jr,3368,19,6,5
5158,1,Bubba Wallace,4025,23,7,4
5158,1,Erik Jones,4059,43,8,3
5158,1,Ryan Blaney,4023,12,9,2
5158,1,Alex Bowman,4045,48,10,1
5158,2,Kurt Busch,453,45,1,10
5158,2,Kyle Busch,454,18,2,9
5158,2,Ryan Blaney,4023,12,3,8
5158,2,Austin Cindric,4180,2,4,7
5158,2,Chase Elliott,4062,9,5,6
5158,2,Kyle Larson,4030,5,6,5
5158,2,Ross Chastain,4001,1,7,4
5158,2,Denny Hamlin,1361,11,8,3
5158,2,Joey Logano,3859,22,9,2
5158,2,Bubba Wallace,4025,23,10,1
5161,1,Chase Elliott,4062,9,1,10
5161,1,Tyler Reddick,4065,8,2,9
5161,1,Christopher Bell,4153,20,3,8
5161,1,Ross Chastain,4001,1,4,7
5161,1,Bubba Wallace,4025,23,5,6
5161,1,Ryan Blaney,4023,12,6,5
5161,1,Ricky Stenhouse Jr,3888,47,7,4
5161,1,Martin Truex Jr,3368,19,8,3
5161,1,Alex Bowman,4045,48,9,2
5161,1,Denny Hamlin,1361,11,10,1
5161,2,Daniel Suárez,4113,99,1,10
5161,2,Ross Chastain,4001,1,2,9
5161,2,Erik Jones,4059,43,3,8
5161,2,Chase Briscoe,4228,14,4,7
5161,2,Ricky Stenhouse Jr,3888,47,5,6
5161,2,Joey Logano,3859,22,6,5
5161,2,Kevin Harvick,1416,4,7,4
5161,2,Tyler Reddick,4065,8,8,3
5161,2,Martin Truex Jr,3368,19,9,2
5161,2,Christopher Bell,4153,20,10,1
5161,3,Ross Chastain,4001,1,1,10
5161,3,Chase Briscoe,4228,14,2,9
5161,3,Kyle Larson,4030,5,3,8
5161,3,Tyler Reddick,4065,8,4,7
5161,3,Daniel Suárez,4113,99,5,6
5161,3,Joey Logano,3859,22,6,5
5161,3,Cole Custer,4104,41,7,4
5161,3,Chris Buescher,3989,17,8,3
5161,3,Austin Dillon,3873,3,9,2
5161,3,Denny Hamlin,1361,11,10,1
5162,1,Austin Cindric,4180,2,1,10
5162,1,Ryan Blaney,4023,12,2,9
5162,1,Tyler Reddick,4065,8,3,8
5162,1,Denny Hamlin,1361,11,4,7
5162,1,Ross Chastain,4001,1,5,6
5162,1,Aric Almirola,40,10,6,5
5162,1,Joey Logano,3859,22,7,4
5162,1,Kyle Busch,454,18,8,3
5162,1,Chase Elliott,4062,9,9,2
5162,1,Christopher Bell,4153,20,10,1
5162,2,Kurt Busch,453,45,1,10
5162,2,Martin Truex Jr,3368,19,2,9
5162,2,Kyle Busch,454,18,3,8
5162,2,Kyle Larson,4030,5,4,7
5162,2,Aric Almirola,40,10,5,6
5162,2,Christopher Bell,4153,20,6,5
5162,2,Daniel Suárez,4113,99,7,4
5162,2,Cole Custer,4104,41,8,3
5162,2,Erik Jones,4059,43,9,2
5162,2,Ryan Blaney,4023,12,10,1
5163,1,Kyle Larson,4030,5,1,10
5163,1,Joey Logano,3859,22,2,9
5163,1,Kyle Busch,454,18,3,8
5163,1,Justin Haley,4172,31,4,7
5163,1,Aric Almirola,40,10,5,6
5163,1,Harrison Burton,4217,21,6,5
5163,1,Josh Bilicki,4213,77,7,0
5163,1,Kurt Busch,453,45,8,3
5163,1,Ricky Stenhouse Jr,3888,47,9,2
5163,1,Cody Ware,4125,51,10,1
5163,2,Joey Logano,3859,22,1,10
5163,2,Aric Almirola,40,10,2,9
5163,2,Chris Buescher,3989,17,3,8
5163,2,Daniel Suárez,4113,99,4,7
5163,2,Kevin Harvick,1416,4,5,6
5163,2,Todd Gilliland,4231,38,6,5
5163,2,Harrison Burton,4217,21,7,4
5163,2,Michael McDowell,3832,34,8,3
5163,2,Ricky Stenhouse Jr,3888,47,9,2
5163,2,Ryan Blaney,4023,12,10,1
5164,1,Martin Truex Jr,3368,19,1,10
5164,1,Denny Hamlin,1361,11,2,9
5164,1,Ryan Blaney,4023,12,3,8
5164,1,Christopher Bell,4153,20,4,7
5164,1,Kevin Harvick,1416,4,5,6
5164,1,Kyle Larson,4030,5,6,5
5164,1,Bubba Wallace,4025,23,7,4
5164,1,Chase Elliott,4062,9,8,3
5164,1,Kyle Busch,454,18,9,2
5164,1,Kurt Busch,453,45,10,1
5164,2,Martin Truex Jr,3368,19,1,10
5164,2,Denny Hamlin,1361,11,2,9
5164,2,Kyle Busch,454,18,3,8
5164,2,Chase Elliott,4062,9,4,7
5164,2,Kurt Busch,453,45,5,6
5164,2,Kyle Larson,4030,5,6,5
5164,2,Ross Chastain,4001,1,7,4
5164,2,Kevin Harvick,1416,4,8,3
5164,2,Ryan Blaney,4023,12,9,2
5164,2,Michael McDowell,3832,34,10,1
5165,1,Chase Briscoe,4228,14,1,10
5165,1,Austin Cindric,4180,2,2,9
5165,1,Alex Bowman,4045,48,3,8
5165,1,Joey Logano,3859,22,4,7
5165,1,Kurt Busch,453,45,5,6
5165,1,Harrison Burton,4217,21,6,5
5165,1,Bubba Wallace,4025,23,7,4
5165,1,Erik Jones,4059,43,8,3
5165,1,Justin Haley,4172,31,9,2
5165,1,Chase Elliott,4062,9,10,1
5165,2,Ryan Blaney,4023,12,1,10
5165,2,Joey Hand,4413,15,2,9
5165,2,Ty Dillon,4013,42,3,8
5165,2,Kurt Busch,453,45,4,7
5165,2,Erik Jones,4059,43,5,6
5165,2,Justin Haley,4172,31,6,5
5165,2,Harrison Burton,4217,21,7,4
5165,2,Bubba Wallace,4025,23,8,3
5165,2,Chase Elliott,4062,9,9,2
5165,2,Tyler Reddick,4065,8,10,1
5166,1,Chase Elliott,4062,9,1,10
5166,1,Alex Bowman,4045,48,2,9
5166,1,Ross Chastain,4001,1,3,8
5166,1,Ryan Blaney,4023,12,4,7
5166,1,William Byron,4184,24,5,6
5166,1,Kyle Busch,454,18,6,5
5166,1,Kurt Busch,453,45,7,4
5166,1,Denny Hamlin,1361,11,8,3
5166,1,Kyle Larson,4030,5,9,2
5166,1,Christopher Bell,4153,20,10,1
5166,2,Chase Elliott,4062,9,1,10
5166,2,Tyler Reddick,4065,8,2,9
5166,2,Brad Keselowski,1816,6,3,8
5166,2,Ryan Blaney,4023,12,4,7
5166,2,Kurt Busch,453,45,5,6
5166,2,Christopher Bell,4153,20,6,5
5166,2,Harrison Burton,4217,21,7,4
5166,2,William Byron,4184,24,8,3
5166,2,Ross Chastain,4001,1,9,2
5166,2,Corey Lajoie,4096,7,10,1
5167,1,Martin Truex Jr,3368,19,1,10
5167,1,Bubba Wallace,4025,23,2,9
5167,1,Kyle Larson,4030,5,3,8
5167,1,Chase Elliott,4062,9,4,7
5167,1,Kevin Harvick,1416,4,5,6
5167,1,Christopher Bell,4153,20,6,5
5167,1,Kurt Busch,453,45,7,4
5167,1,Aric Almirola,40,10,8,3
5167,1,William Byron,4184,24,9,2
5167,1,Denny Hamlin,1361,11,10,1
5167,2,Martin Truex Jr,3368,19,1,10
5167,2,Kevin Harvick,1416,4,2,9
5167,2,Chase Elliott,4062,9,3,8
5167,2,Joey Logano,3859,22,4,7
5167,2,Kyle Larson,4030,5,5,6
5167,2,Kurt Busch,453,45,6,5
5167,2,Ross Chastain,4001,1,7,4
5167,2,William Byron,4184,24,8,3
5167,2,Christopher Bell,4153,20,9,2
5167,2,Bubba Wallace,4025,23,10,1
5168,1,Kyle Larson,4030,5,1,10
5168,1,Chase Elliott,4062,9,2,9
5168,1,Daniel Suárez,4113,99,3,8
5168,1,Ryan Blaney,4023,12,4,7
5168,1,Erik Jones,4059,43,5,6
5168,1,William Byron,4184,24,6,5
5168,1,Martin Truex Jr,3368,19,7,4
5168,1,Kevin Harvick,1416,4,8,3
5168,1,Corey Lajoie,4096,7,9,2
5168,1,Michael McDowell,3832,34,10,1
5168,2,Ross Chastain,4001,1,1,10
5168,2,Ryan Blaney,4023,12,2,9
5168,2,Erik Jones,4059,43,3,8
5168,2,Kevin Harvick,1416,4,4,7
5168,2,William Byron,4184,24,5,6
5168,2,Daniel Suárez,4113,99,6,5
5168,2,Chase Elliott,4062,9,7,4
5168,2,Kyle Larson,4030,5,8,3
5168,2,Christopher Bell,4153,20,9,2
5168,2,Martin Truex Jr,3368,19,10,1
5169,1,Chase Briscoe,4228,14,1,10
5169,1,Ryan Blaney,4023,12,2,9
5169,1,William Byron,4184,24,3,8
5169,1,Joey Logano,3859,22,4,7
5169,1,Chase Elliott,4062,9,5,6
5169,1,Todd Gilliland,4231,38,6,5
5169,1,Kyle Larson,4030,5,7,4
5169,1,Kyle Busch,454,18,8,3
5169,1,Harrison Burton,4217,21,9,2
5169,1,Martin Truex Jr,3368,19,10,1
5169,2,Christopher Bell,4153,20,1,10
5169,2,Kyle Busch,454,18,2,9
5169,2,Bubba Wallace,4025,23,3,8
5169,2,Chase Elliott,4062,9,4,7
5169,2,Ty Dillon,4013,42,5,6
5169,2,Denny Hamlin,1361,11,6,5
5169,2,Chase Briscoe,4228,14,7,4
5169,2,Cole Custer,4104,41,8,3
5169,2,Erik Jones,4059,43,9,2
5169,2,Cody Ware,4125,51,10,1
5170,1,Christopher Bell,4153,20,1,10
5170,1,Denny Hamlin,1361,11,2,9
5170,1,Erik Jones,4059,43,3,8
5170,1,Martin Truex Jr,3368,19,4,7
5170,1,Chris Buescher,3989,17,5,6
5170,1,Ross Chastain,4001,1,6,5
5170,1,William Byron,4184,24,7,4
5170,1,Kevin Harvick,1416,4,8,3
5170,1,Joey Logano,3859,22,9,2
5170,1,Chase Briscoe,4228,14,10,1
5170,2,Denny Hamlin,1361,11,1,10
5170,2,Daniel Suárez,4113,99,2,9
5170,2,Kyle Larson,4030,5,3,8
5170,2,Christopher Bell,4153,20,4,7
5170,2,Brad Keselowski,1816,6,5,6
5170,2,Erik Jones,4059,43,6,5
5170,2,Austin Dillon,3873,3,7,4
5170,2,Alex Bowman,4045,48,8,3
5170,2,William Byron,4184,24,9,2
5170,2,Joey Logano,3859,22,10,1
5171,1,Ross Chastain,4001,1,1,10
5171,1,Denny Hamlin,1361,11,2,9
5171,1,Kyle Larson,4030,5,3,8
5171,1,Brad Keselowski,1816,6,4,7
5171,1,William Byron,4184,24,5,6
5171,1,Ryan Blaney,4023,12,6,5
5171,1,Joey Logano,3859,22,7,4
5171,1,Alex Bowman,4045,48,8,3
5171,1,Cole Custer,4104,41,9,2
5171,1,Martin Truex Jr,3368,19,10,1
5171,2,Joey Logano,3859,22,1,10
5171,2,Kyle Larson,4030,5,2,9
5171,2,Denny Hamlin,1361,11,3,8
5171,2,Kevin Harvick,1416,4,4,7
5171,2,Ryan Blaney,4023,12,5,6
5171,2,Aric Almirola,40,10,6,5
5171,2,Chris Buescher,3989,17,7,4
5171,2,Chase Elliott,4062,9,8,3
5171,2,Chase Briscoe,4228,14,9,2
5171,2,Kyle Busch,454,18,10,1
5172,1,Chase Briscoe,4228,14,1,10
5172,1,Tyler Reddick,4065,8,2,9
5172,1,Daniel Suárez,4113,99,3,8
5172,1,Todd Gilliland,4231,38,4,7
5172,1,Ross Chastain,4001,1,5,6
5172,1,Joey Logano,3859,22,6,5
5172,1,Ty Dillon,4013,42,7,4
5172,1,Michael McDowell,3832,34,8,3
5172,1,Kyle Busch,454,18,9,2
5172,1,AJ Allmendinger,3774,16,10,0
5172,2,Joey Logano,3859,22,1,10
5172,2,Kyle Busch,454,18,2,9
5172,2,Michael McDowell,3832,34,3,8
5172,2,Chase Elliott,4062,9,4,7
5172,2,Ty Dillon,4013,42,5,6
5172,2,Joey Hand,4413,15,6,5
5172,2,Chris Buescher,3989,17,7,4
5172,2,Kyle Larson,4030,5,8,3
5172,2,Cole Custer,4104,41,9,2
5172,2,Christopher Bell,4153,20,10,1
5173,1,Joey Logano,3859,22,1,10
5173,1,Chase Elliott,4062,9,2,9
5173,1,Harrison Burton,4217,21,3,8
5173,1,Kyle Busch,454,18,4,7
5173,1,Martin Truex Jr,3368,19,5,6
5173,1,Corey Lajoie,4096,7,6,5
5173,1,Bubba Wallace,4025,23,7,4
5173,1,Ricky Stenhouse Jr,3888,47,8,3
5173,1,Erik Jones,4059,43,9,2
5173,1,Michael McDowell,3832,34,10,1
5173,2,Kyle Busch,454,18,1,10
5173,2,Martin Truex Jr,3368,19,2,9
5173,2,Denny Hamlin,1361,11,3,8
5173,2,Joey Logano,3859,22,4,7
5173,2,Bubba Wallace,4025,23,5,6
5173,2,Todd Gilliland,4231,38,6,5
5173,2,Tyler Reddick,4065,8,7,4
5173,2,Kevin Harvick,1416,4,8,3
5173,2,Ricky Stenhouse Jr,3888,47,9,2
5173,2,Austin Dillon,3873,3,10,1
5174,1,William Byron,4184,24,1,10
5174,1,Denny Hamlin,1361,11,2,9
5174,1,Kyle Busch,454,18,3,8
5174,1,Christopher Bell,4153,20,4,7
5174,1,Martin Truex Jr,3368,19,5,6
5174,1,Ross Chastain,4001,1,6,5
5174,1,Tyler Reddick,4065,8,7,4
5174,1,Erik Jones,4059,43,8,3
5174,1,Ryan Blaney,4023,12,9,2
5174,1,Bubba Wallace,4025,45,10,1
5174,2,Kyle Busch,454,18,1,10
5174,2,Martin Truex Jr,3368,19,2,9
5174,2,Ryan Blaney,4023,12,3,8
5174,2,Joey Logano,3859,22,4,7
5174,2,William Byron,4184,24,5,6
5174,2,Christopher Bell,4153,20,6,5
5174,2,Alex Bowman,4045,48,7,4
5174,2,Daniel Suárez,4113,99,8,3
5174,2,Erik Jones,4059,43,9,2
5174,2,Michael McDowell,3832,34,10,1
5175,1,Christopher Bell,4153,20,1,10
5175,1,Ryan Blaney,4023,12,2,9
5175,1,Martin Truex Jr,3368,19,3,8
5175,1,Ricky Stenhouse Jr,3888,47,4,7
5175,1,Bubba Wallace,4025,45,5,6
5175,1,Chase Elliott,4062,9,6,5
5175,1,Kyle Busch,454,18,7,4
5175,1,Ross Chastain,4001,1,8,3
5175,1,Joey Logano,3859,22,9,2
5175,1,Austin Dillon,3873,3,10,1
5175,2,Alex Bowman,4045,48,1,10
5175,2,Christopher Bell,4153,20,2,9
5175,2,William Byron,4184,24,3,8
5175,2,Bubba Wallace,4025,45,4,7
5175,2,Chase Elliott,4062,9,5,6
5175,2,Denny Hamlin,1361,11,6,5
5175,2,Kyle Larson,4030,5,7,4
5175,2,Joey Logano,3859,22,8,3
5175,2,Ryan Blaney,4023,12,9,2
5175,2,Ross Chastain,4001,1,10,1
5176,1,Brad Keselowski,1816,6,1,10
5176,1,Christopher Bell,4153,20,2,9
5176,1,Kyle Busch,454,18,3,8
5176,1,Chase Briscoe,4228,14,4,7
5176,1,Kyle Larson,4030,5,5,6
5176,1,Alex Bowman,4045,48,6,5
5176,1,Chris Buescher,3989,17,7,4
5176,1,Tyler Reddick,4065,8,8,3
5176,1,William Byron,4184,24,9,2
5176,1,Martin Truex Jr,3368,19,10,1
5176,2,Christopher Bell,4153,20,1,10
5176,2,Ross Chastain,4001,1,2,9
5176,2,Chase Briscoe,4228,14,3,8
5176,2,Chase Elliott,4062,9,4,7
5176,2,Kyle Busch,454,18,5,6
5176,2,Alex Bowman,4045,48,6,5
5176,2,William Byron,4184,24,7,4
5176,2,Austin Dillon,3873,3,8,3
5176,2,Kyle Larson,4030,5,9,2
5176,2,Kevin Harvick,1416,4,10,1
5177,1,Kyle Larson,4030,5,1,10
5177,1,Denny Hamlin,1361,11,2,9
5177,1,Joey Logano,3859,22,3,8
5177,1,Daniel Suárez,4113,99,4,7
5177,1,Ross Chastain,4001,1,5,6
5177,1,William Byron,4184,24,6,5
5177,1,Ricky Stenhouse Jr,3888,47,7,4
5177,1,Brad Keselowski,1816,6,8,3
5177,1,Austin Cindric,4180,2,9,2
5177,1,Michael McDowell,3832,34,10,1
5177,2,Ryan Blaney,4023,12,1,10
5177,2,Ross Chastain,4001,1,2,9
5177,2,William Byron,4184,24,3,8
5177,2,Brad Keselowski,1816,6,4,7
5177,2,Daniel Suárez,4113,99,5,6
5177,2,Austin Dillon,3873,3,6,5
5177,2,Austin Cindric,4180,2,7,4
5177,2,Joey Logano,3859,22,8,3
5177,2,Martin Truex Jr,3368,19,9,2
5177,2,Michael McDowell,3832,34,10,1
5178,1,Ryan Blaney,4023,12,1,10
5178,1,Denny Hamlin,1361,11,2,9
5178,1,Chase Elliott,4062,9,3,8
5178,1,Austin Cindric,4180,2,4,7
5178,1,Joey Logano,3859,22,5,6
5178,1,Ricky Stenhouse Jr,3888,47,6,5
5178,1,Kyle Busch,454,18,7,4
5178,1,Kyle Larson,4030,5,8,3
5178,1,Noah Gragson,4224,48,9,0
5178,1,Erik Jones,4059,43,10,1
5178,2,Chase Elliott,4062,9,1,10
5178,2,Justin Haley,4172,31,2,9
5178,2,Kyle Larson,4030,5,3,8
5178,2,Daniel Suárez,4113,99,4,7
5178,2,Erik Jones,4059,43,5,6
5178,2,Ross Chastain,4001,1,6,5
5178,2,Landon Cassill,3808,77,7,0
5178,2,Chris Buescher,3989,17,8,3
